@relation movies
@attribute 'MovieId' numeric
@attribute 'Title' string
@attribute 'IsAction' { 0, 1}
@attribute 'IsAdventure' { 0, 1}
@attribute 'IsAnimation' { 0, 1}
@attribute 'IsBiography' { 0, 1}
@attribute 'IsComedy' { 0, 1}
@attribute 'IsCrime' { 0, 1}
@attribute 'IsDrama' { 0, 1}
@attribute 'IsRomance' { 0, 1}
@attribute 'IsFantasy' { 0, 1}
@attribute 'IsHorror' { 0, 1}
@attribute 'IsMistery' { 0, 1}
@attribute 'IsHistory' { 0, 1}
@attribute 'IsFamily' { 0, 1}
@attribute 'IsSport' { 0, 1}
@attribute 'IsWar' { 0, 1}
@attribute 'IsWestern' { 0, 1}
@attribute 'IsSciFi' { 0, 1}
@attribute 'IsThriller' { 0, 1}
@attribute 'Year' numeric
@attribute 'Rating' real
@attribute 'Votes' numeric
@attribute 'CriticScore' numeric
@data
47,'Miss Sloane',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,7.3,17818,64
48,'Fallen',0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2016,5.6,5103,
49,'Star Trek Beyond',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,7.1,164567,68
50,'The Last Face',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,3.7,987,16
51,'Star Wars: Episode VII - The Force Awakens',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,8.1,661608,81
52,'Underworld: Blood Wars',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,5.8,41362,23
53,'Mother's Day',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,5.6,20221,18
54,'John Wick',1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,7.2,321933,68
55,'The Dark Knight',1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2008,9,1791916,82
56,'Silence',0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,7.3,49190,79
57,'Don't Breathe',0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2016,7.2,121103,71
58,'Me Before You',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2016,7.4,113322,51
59,'Their Finest',0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2016,7,3739,76
60,'Sully',0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,7.5,137608,74
61,'Batman v Superman: Dawn of Justice',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,6.7,472307,44
62,'The Autopsy of Jane Doe',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2016,6.8,35870,65
63,'The Girl on the Train',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,6.5,102177,48
64,'Fifty Shades of Grey',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2015,4.1,244474,46
65,'The Prestige',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2006,8.5,913152,66
66,'Kingsman: The Secret Service',1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7.7,440209,58
67,'Patriots Day',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2016,7.4,39784,69
68,'Mad Max: Fury Road',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,8.1,632842,90
69,'Wakefield',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,7.5,291,61
70,'Deepwater Horizon',1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,7.2,89849,68
71,'The Promise',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,5.9,149791,49
72,'Allied',1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2016,7.1,78079,60
73,'A Monster Calls',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2016,7.5,39134,76
74,'Collateral Beauty',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2016,6.8,43977,23
75,'Zootopia',0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,8.1,296853,78
76,'Pirates of the Caribbean: At World's End',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,7.1,498821,50
77,'The Avengers',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,8.1,1045588,69
78,'Inglourious Basterds',0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2009,8.3,959065,69
